Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.230s)
CreateVariables () DONE !!!
Creating 6 APs 60.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 180.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5
113.00	2.00	2.00	2.00	2.00	2.00	2.00
114.00	2.00	2.00	2.01	2.00	2.00	2.00
115.00	1.99	1.99	1.98	2.00	1.99	1.99
116.00	2.01	2.00	2.03	2.00	2.01	2.00
117.00	2.00	2.00	1.99	2.00	1.99	2.00
118.00	1.99	2.00	2.00	1.99	2.00	1.99
119.00	2.00	2.00	2.00	2.00	2.00	2.00
120.00	2.00	1.99	1.99	2.00	1.99	1.99
121.00	2.00	2.01	2.00	2.00	2.01	2.01
122.00	2.00	1.99	1.99	2.00	2.00	2.00
123.00	2.00	2.00	2.00	2.00	1.99	1.99
124.00	1.99	2.00	2.00	1.99	2.00	2.00
125.00	2.00	2.00	2.00	2.00	2.00	2.00
126.00	2.00	2.00	2.00	2.00	2.00	2.00
127.00	2.00	2.00	2.00	2.00	2.00	2.00
128.00	2.00	2.00	1.99	2.00	2.00	1.99
129.00	2.00	1.99	2.00	2.00	1.99	2.00
130.00	1.99	1.99	1.99	1.99	2.00	2.00
131.00	1.99	2.00	2.01	2.00	2.00	2.00
132.00	2.00	2.00	1.98	2.00	2.00	1.99
133.00	2.00	2.00	2.03	2.00	2.00	2.01
134.00	2.00	1.99	1.99	2.00	1.99	1.99
135.00	2.00	2.01	2.00	2.00	2.00	2.00
136.00	1.99	1.99	2.00	1.99	2.00	2.00
137.00	2.00	2.00	2.00	2.00	2.00	2.00
138.00	2.00	2.00	1.99	2.00	2.00	2.00
139.00	2.00	2.00	2.01	2.00	2.00	2.00
140.00	2.00	1.99	1.99	2.00	1.99	1.99
141.00	2.00	2.00	2.00	2.00	2.00	2.00
142.00	1.99	2.00	1.99	2.00	2.00	2.00
143.00	1.99	2.00	1.99	1.99	2.00	2.00
144.00	2.00	2.00	2.01	2.00	2.00	2.00
145.00	2.00	2.00	2.00	2.00	2.00	2.00
146.00	2.00	2.00	1.98	2.00	2.00	1.99
147.00	2.00	1.99	2.00	2.00	1.99	1.99
148.00	1.99	2.00	2.00	2.00	2.00	2.00
149.00	2.00	2.00	2.00	1.99	2.00	2.00
150.00	2.00	2.00	1.99	2.00	2.00	1.99
151.00	2.00	2.00	1.99	2.00	1.99	2.00
152.00	1.99	1.99	2.01	2.00	2.00	2.00
153.00	2.00	2.01	2.00	2.00	2.01	2.00
154.00	1.99	1.99	1.99	2.00	1.99	2.00
155.00	2.00	2.00	2.00	1.99	2.00	1.99
156.00	2.00	2.00	2.01	2.00	2.00	2.01
157.00	2.00	2.00	2.00	2.00	2.00	2.00
158.00	2.00	2.00	2.00	2.00	2.00	2.00
159.00	2.00	1.99	1.99	2.00	1.99	1.99
160.00	1.99	2.00	2.00	2.00	2.01	2.00
161.00	2.00	2.00	2.00	1.99	1.99	2.00
162.00	2.00	2.00	2.00	2.00	2.00	2.00
163.00	2.00	1.99	1.99	2.00	2.00	1.99
164.00	2.00	2.01	2.00	2.00	2.00	2.01
165.00	2.00	1.99	2.00	2.00	1.99	1.99
166.00	2.00	2.00	2.00	2.00	2.00	2.00
167.00	1.99	2.00	2.00	1.99	2.00	2.00
168.00	2.00	2.00	1.99	2.00	2.00	2.00
169.00	2.00	2.00	2.01	2.00	2.00	2.00
170.00	2.00	1.98	1.98	2.00	2.00	1.99
171.00	2.00	2.00	2.00	2.00	1.99	2.00
172.00	2.00	2.00	2.00	2.00	2.01	2.00
173.00	1.98	2.00	1.98	1.99	1.99	2.00
174.00	2.00	1.99	1.99	2.00	2.00	2.00
175.00	2.00	2.00	2.00	2.00	2.00	1.99
176.00	2.00	2.01	2.01	2.00	2.00	2.01
177.00	2.00	1.99	1.99	2.00	1.99	1.99
178.00	2.00	2.01	2.00	2.00	2.00	2.00
179.00	1.99	1.99	1.99	1.99	2.00	2.00
10.1.1.1	1.88	24021.51
10.1.1.2	1.91	84324.66
10.1.1.3	1.67	65893.07
10.2.1.2	2.04	7.85
10.1.1.5	1.96	12622.25
10.1.1.6	1.55	50541.37
